869,TED2010,Seth Berkley,HIV and flu -- the vaccine strategy
2511,TED Talks Live,Zaria Forman,Drawings that show the beauty and fragility of Earth
2863,TED2017,Laolu Senbanjo,"""The Sacred Art of the Ori"""
691,TEDGlobal 2009,Mathieu Lehanneur,Science-inspired design
86,TED2006,Julia Sweeney,Letting go of God
1881,TEDGlobal 2013,Toby Eccles,Invest in social change
112,TED2005,Tom Honey,Why would God create a tsunami?
963,TEDGlobal 2010,Annie Lennox,Why I am an HIV/AIDS activist
281,TEDxEast,Nancy Duarte,The secret structure of great talks
2828,TEDNYC,Françoise Mouly,The stories behind The New Yorker's iconic covers
1372,TEDGlobal 2011,Paul Snelgrove,A census of the ocean
2053,TEDSalon Berlin 2014,Hubertus Knabe,The dark secrets of a surveillance state
449,TEDYouth 2015,Raymond Wang,How germs travel on planes -- and how we can stop them
652,TEDGlobal 2009,Chimamanda Ngozi Adichie,The danger of a single story
2387,TED Fellows Retreat 2015,Jedidah Isler,The untapped genius that could change science for the better
759,TEDMED 2009,Jamie Heywood,The big idea my brother inspired
580,TED2009,Catherine Mohr,"Surgery's past, present and robotic future"
1644,TEDxHampshireCollege,Jarrett J. Krosoczka,How a boy became an artist
891,TED2010,Marian Bantjes,Intricate beauty by design
1481,TEDMED 2012,Ivan Oransky,Are we over-medicalized?
2855,TED2017,Daan Roosegaarde,A smog vacuum cleaner and other magical city designs
720,Stanford University,Steve Jobs,How to live before you die
899,Mission Blue Voyage,Stephen Palumbi,Hidden toxins in the fish we eat
2194,TEDMED 2014,Nadine Burke Harris,How childhood trauma affects health across a lifetime
853,TED2010,Nathan Myhrvold,Could this laser zap malaria?
949,TEDGlobal 2010,Sugata Mitra,The child-driven education
757,TEDIndia 2009,Sendhil Mullainathan,Solving social problems with a nudge
1226,TEDGlobal 2011,Niall Ferguson,The 6 killer apps of prosperity
646,TEDGlobal 2009,Tim Brown,Designers -- think big!
722,Business Innovation Factory,Cat Laine,Engineering a better life for all
1916,TEDxZurich 2013,Nicolas Perony,"Puppies! Now that I’ve got your attention, complexity theory"
663,TEDGlobal 2009,Itay Talgam,Lead like the great conductors
2468,TED2016,Tabetha Boyajian,The most mysterious star in the universe
2098,TEDMED 2014,Gail Reed,Where to train the world's doctors? Cuba.
2208,TEDxTokyo,Shimpei Takahashi,Play this word game to come up with original ideas
920,TEDGlobal 2010,Dimitar Sasselov,How we found hundreds of potential Earth-like planets
2687,TEDNYC,Lara Setrakian,3 ways to fix a broken news industry
1147,TED2011,Thomas Heatherwick,Building the Seed Cathedral
412,TED2007,Nick Sears,Demo: The Orb
2661,TEDxSFU,Mandy Len Catron,A better way to talk about love
430,TED2005,Greg Lynn,Organic algorithms in architecture
1516,TEDxSummit,Vinay Venkatraman,Technology crafts for the digitally underserved
1537,TEDGlobal 2012,Bahia Shehab,A thousand times no
2,TED2006,Amy Smith,Simple designs to save a life
1356,TEDWomen 2010,Tyrone Hayes + Penelope Jagessar Chaffer,The toxic baby
923,Princeton University,Jeff Bezos,What matters more than your talents
1778,TEDGlobal 2013,Eric X. Li,A tale of two political systems
1402,TED2012,Regina Dugan,From mach-20 glider to hummingbird drone
1709,TED2013,Keller Rinaudo,A mini robot -- powered by your phone
2000,TEDActive 2014,Rives,The Museum of Four in the Morning
1404,TED2012,Ayah Bdeir,"Building blocks that blink, beep and teach"
1838,TEDCity2.0,Janette Sadik-Khan,New York's streets? Not so mean any more
198,TEDGlobal 2007,Ron Eglash,The fractals at the heart of African designs
2600,TEDxIndianaUniversity,Alyssa Monks,How loss helped one artist find beauty in imperfection
1699,TED2013,Richard Turere,My invention that made peace with lions
981,TEDGlobal 2010,Ze Frank,My web playroom
225,TED2007,Steve Jurvetson,Model rocketry
1576,TEDGlobal 2012,Andrew Blum,Discover the physical side of the internet
1861,TEDxBrussels,Mikko Hypponen,How the NSA betrayed the world's trust -- time to act
582,TED2009,Philip Zimbardo,The psychology of time
2283,TEDWomen 2015,Margaret Heffernan,Forget the pecking order at work
1791,TEDGlobal 2013,Chrystia Freeland,The rise of the new global super-rich
2729,TEDNYC,Todd Scott,An intergalactic guide to using a defibrillator
1737,TED Talks Education,Malcolm London,"""High School Training Ground"""
1984,TED Fellows Retreat 2013,James Patten,The best computer interface? Maybe ... your hands
1158,TED2011,Dennis Hong,Making a car for blind drivers
1875,TEDxMidAtlantic,Henry Evans and Chad Jenkins,Meet the robots for humanity
927,TEDGlobal 2010,Laurie Santos,A monkey economy as irrational as ours
1769,TEDxSydney,Paul Pholeros,How to reduce poverty? Fix homes
234,TED2008,Karen Armstrong,My wish: The Charter for Compassion
1999,TEDSalon NY2014,Sebastian Junger,Why veterans miss war
