137,248,501,230,2170,2870,1058
1886,1182,36,53,2839,2682,213
2078,1182,2064,1838,1966,1892,2840
2213,154,127,91,2560,151,152
2588,2328,2194,2413,2616,2775,1732
258,214,198,18,1247,971,475
1984,230,872,481,2410,1781,685
2400,1086,2176,2104,2154,575,2567
2215,1152,1806,1569,2224,1309,2817
2642,2582,856,2074,1596,1675,1756
1033,1030,1040,2732,1943,2547,2329
1387,206,264,850,-1,-1,-1
1693,1346,1576,362,640,26,641
2574,1603,1042,2435,1742,2447,2584
2272,2144,2182,1773,1591,1949,2470
2575,2543,2562,2397,2819,2813,1189
1088,744,142,1824,1845,1124,1187
623,613,48,285,1745,709,1987
2485,955,66,2465,1315,1962,846
2325,1847,1891,2641,1399,2778,2565
1212,548,1080,1043,1533,487,532
37,640,362,1295,247,783,1091
2416,2354,1047,2245,1422,1627,1217
1087,451,1728,1739,1638,1735,1427
1462,1191,1101,1068,2195,1084,1086
2569,2195,2541,2488,84,2683,1812
2663,206,2390,2542,343,1372,802
1830,1584,1167,1178,1894,189,2739
738,87,2591,2305,1582,194,736
1157,32,-1,-1,-1,-1,-1
212,213,63,216,1077,1174,1620
1398,1100,453,119,2013,2411,1625
1816,340,1751,1690,2551,1874,2373
2597,1753,2068,2457,2678,2666,2856
1730,1467,1132,575,1287,848,510
2496,2308,2453,2463,2472,1508,807
1326,523,2,613,2404,1093,2672
634,359,589,13,174,2092,56
889,618,97,93,1607,570,191
2114,151,127,2113,1929,2105,152
1096,647,1799,2574,328,1150,2031
1795,880,20,661,2554,2573,2604
886,833,467,1758,2160,899,1887
293,1253,1340,1207,-1,-1,-1
551,306,178,141,2550,1488,876
2834,2474,2438,453,2815,2802,495
1560,1378,779,102,1826,643,2831
1876,1875,1872,1402,1704,2609,429
1847,1832,1744,1399,2778,2120,2325
1700,613,1611,1665,2672,702,2404
823,117,413,2013,1398,1100,2411
1170,1102,483,392,435,1111,2438
267,162,32,144,877,2787,1764
1435,1164,534,980,1243,762,2865
1250,1107,1192,1221,2326,2650,344
1649,1485,66,202,2775,1732,2616
1707,1215,165,90,48,2344,1519
30,29,67,22,2291,1724,1506
1821,1496,1716,653,2834,310,2815
780,63,695,719,689,545,1489
591,540,392,147,1939,2077,2798
